ID_Uzorka;GPS_LAT;GPS_LONG
1;18,484114;77,377874
2;18,479342;77,387073
3;18,494704;77,389527
4;18,464939;77,378967
5;18,493288;77,372963
6;18,490183;77,384349
7;18,471429;77,393498
8;18,476884;77,374024
9;18,480067;77,391464
10;18,473621;77,38627
11;18,475002;77,383322
12;18,47957;77,417586
13;18,488159;77,38005
14;18,481832;77,380395
15;18,470914;77,394175
16;18,485986;77,398072
17;18,487799;77,389111
18;18,474087;77,402455
19;18,466364;77,391677
20;18,477939;77,3831
21;18,481269;77,419719
22;18,480177;77,387454
23;18,485759;77,410721
24;18,478098;77,398495
25;18,470448;77,390209
26;18,461453;77,393063
27;18,485236;77,389097
28;18,486063;77,387008
29;18,483908;77,390984
30;18,474797;77,398417
31;18,486005;77,386569
32;18,486171;77,403629
33;18,487886;77,388924
34;18,482589;77,403124
35;18,481451;77,381079
36;18,486695;77,37806
37;18,483233;77,399372
38;18,481887;77,382006
39;18,487716;77,392612
40;18,481325;77,392196
41;18,464772;77,384735
42;18,466184;77,394007
43;18,47123;77,397913
44;18,484574;77,387809
45;18,474562;77,387622
46;18,474109;77,400364
47;18,48626;77,406468
48;18,481591;77,392163
49;18,469384;77,38776
50;18,480008;77,392669
51;18,480862;77,364383
52;18,493471;77,387245
53;18,489388;77,397615
54;18,481046;77,39618
55;18,493043;77,37316
56;18,471538;77,388391
57;18,497541;77,40102
58;18,470703;77,388623
59;18,482556;77,392534
60;18,490056;77,401872
61;18,480998;77,392371
62;18,455037;77,384984
63;18,463637;77,369375
64;18,470611;77,3987
65;18,475497;77,382108
66;18,490781;77,375888
67;18,466069;77,38021
68;18,484717;77,384212
69;18,475705;77,377186
70;18,471489;77,389444
71;18,479506;77,388756
72;18,478741;77,398521
73;18,47791;77,400622
74;18,479002;77,384335
75;18,487936;77,377
76;18,465454;77,390307
77;18,490671;77,392344
78;18,47851;77,381813
79;18,497177;77,408665
80;18,485059;77,403702
81;18,49167;77,381215
82;18,493986;77,398457
83;18,474027;77,383988
84;18,46413;77,383997
85;18,48019;77,39935
86;18,46726;77,399479
87;18,491357;77,404416
88;18,475028;77,388569
89;18,482857;77,407155
90;18,469622;77,395064
91;18,459451;77,394763
92;18,483554;77,403547
93;18,463319;77,38685
94;18,489623;77,386021
95;18,481607;77,37448
96;18,49724;77,39443
97;18,497723;77,38096
98;18,48703;77,401017
99;18,481298;77,392945
100;18,50034;77,380071
101;18,487092;77,395712
102;18,480432;77,409912
103;18,484763;77,382191
104;18,485561;77,406931
105;18,462856;77,387421
106;18,474615;77,397662
107;18,475576;77,381999
108;18,485534;77,403968
109;18,47728;77,394476
110;18,484595;77,383788
111;18,449755;77,383209
112;18,478632;77,386206
113;18,477979;77,393234
114;18,499747;77,387104
115;18,497196;77,391441
116;18,478706;77,400739
117;18,472858;77,386855
118;18,47799;77,378829
119;18,490559;77,415075
120;18,496303;77,380085
121;18,477808;77,375219
122;18,467282;77,376303
123;18,494724;77,392201
124;18,479163;77,391759
125;18,479382;77,377381
126;18,475202;77,397458
127;18,48497;77,391198
128;18,477061;77,373896
129;18,471616;77,380936
130;18,497652;77,388187
131;18,490075;77,383798
132;18,488411;77,393554
133;18,466434;77,381457
134;18,487839;77,401594
135;18,486844;77,39016
136;18,492472;77,398299
137;18,485295;77,394972
138;18,489599;77,395893
139;18,46664;77,397877
140;18,474057;77,393268
141;18,491171;77,385367
142;18,479646;77,384666
143;18,488428;77,38855
144;18,479112;77,385858
145;18,461782;77,387481
146;18,474192;77,385097
147;18,473446;77,388387
148;18,487515;77,384918
149;18,481948;77,387003
150;18,482305;77,395595
151;18,465362;77,365737
152;18,472953;77,394962
153;18,49633;77,383962
154;18,489848;77,397683
155;18,488586;77,383298
156;18,482972;77,3945
157;18,479428;77,390811
158;18,47189;77,406324
159;18,492572;77,392962
160;18,481196;77,387294
161;18,479199;77,39037
162;18,484938;77,378937
163;18,478458;77,384185
164;18,489097;77,380597
165;18,467471;77,394939
166;18,472635;77,394027
167;18,488797;77,399112
168;18,473344;77,389808
169;18,484407;77,391902
170;18,470329;77,386144
171;18,46863;77,392942
172;18,484631;77,378874
173;18,494849;77,392951
174;18,481729;77,38341
175;18,481221;77,389959
176;18,474802;77,401767
177;18,479545;77,396932
178;18,472313;77,388983
179;18,470492;77,402286
180;18,467974;77,384431
181;18,478933;77,40864
182;18,498923;77,406022
183;18,473397;77,403803
184;18,476485;77,404675
185;18,490009;77,397918
186;18,506646;77,375088
187;18,47652;77,386752
188;18,47555;77,368038
189;18,472803;77,382729
190;18,465586;77,40659
191;18,466315;77,397857
192;18,478664;77,402081
193;18,463256;77,396704
194;18,469729;77,393181
195;18,481237;77,398027
196;18,489583;77,383204
197;18,47775;77,363593
198;18,475883;77,386075
199;18,4876;77,381019
200;18,478045;77,40612
201;18,488696;77,372113
202;18,484437;77,388935
203;18,472974;77,382622
204;18,479789;77,376273
205;18,474871;77,386007
206;18,492006;77,394482
207;18,46334;77,39291
208;18,48857;77,394187
209;18,481806;77,379302
210;18,46544;77,40597
211;18,489578;77,404308
212;18,483603;77,376306
213;18,478753;77,367646
214;18,48494;77,3876
215;18,48402;77,38851
216;18,475545;77,398558
217;18,48399;77,397698
218;18,487061;77,37414
219;18,491432;77,380361
220;18,474282;77,393986
221;18,488962;77,386036
222;18,483664;77,38899
223;18,490382;77,387438
224;18,485952;77,403776
225;18,486042;77,379738
226;18,491471;77,40471
227;18,489625;77,385457
228;18,48696;77,392205
229;18,484545;77,392926
230;18,483351;77,398315
231;18,483161;77,38825
232;18,485788;77,389085
233;18,46695;77,400846
234;18,47555;77,384218
235;18,475805;77,403049
236;18,485716;77,405443
237;18,492228;77,393459
238;18,487685;77,383115
239;18,469082;77,414256
240;18,470324;77,400051
241;18,487991;77,405116
242;18,469231;77,378248
243;18,48533;77,405389
244;18,473332;77,406557
245;18,477406;77,396487
246;18,487346;77,373102
247;18,474681;77,38491
248;18,482713;77,397561
249;18,484883;77,401774
250;18,4831;77,394935
251;18,482156;77,392614
252;18,481271;77,384034
253;18,480603;77,405079
254;18,474768;77,398085
255;18,466365;77,388571
256;18,479542;77,389951
257;18,461514;77,384466
258;18,485993;77,390729
259;18,477533;77,384992
260;18,468937;77,387051
261;18,469656;77,395193
262;18,475335;77,398298
263;18,482369;77,378252
264;18,47064;77,379933
265;18,494496;77,385867
266;18,477672;77,400363
267;18,471162;77,372892
268;18,505831;77,392442
269;18,48182;77,399193
270;18,478932;77,397421
271;18,478202;77,4046
272;18,479462;77,373448
273;18,462646;77,394269
274;18,479036;77,390448
275;18,488122;77,395439
276;18,473683;77,373097
277;18,47789;77,398423
278;18,494665;77,403099
279;18,491293;77,379214
280;18,498211;77,381835
281;18,492366;77,385887
282;18,477262;77,383714
